,Mimic enzyme activity,N,P,S,Si,Se,B,F,Cl,Br,I,Metal ratio,Metal type,Metal valence,Submetal ratio,Submetal type,Submetal valence,3rd metal ratio,3rd metal type,3rd metal valence,4th metal ratio,4th metal type,4th metal  valence,shape,Size/nm,Surface modification,Dispersion medium,Buffer pH value,Buffer pH,Temperature/℃,Substrate1,Substrate2,Substrate2 concentration(mM),Km/mM,Vmax/μM s-1,Kcat/s-1,"k cat /Km
(Catalytic efficiency )/M-1 s-1",Chemical_formula
Pd-Ir core-shell,0,0,0,0,0,0,0,0,0,0,0,2.15,46,0,97.85,77,0,15.95,58,4,16.67,27,2,5,52.2,34,0,4,0,22,1,1,0.8,180,0.03,6000000,0.055,74
Pd cubes,0,0,0,0,0,0,0,0,0,0,0,100,46,0,11,69,2.5,16.64,58,4,9.375,26,2,5,18,34,0,4,0,22,0,0,2000,0.05,0.1,69000,0.055,75
Pd cubes,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.33,27,2,16.64,58,4,9.96,36.5,1,5,18,34,0,4,0,22,1,1,0.8,700,0.07,46000,0.055,75
NiCo2O4 MS,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,28,3,24.845,25,4,12.75,26,2,0,100,4,0,4,0,37,0,0,0.2,0.14,0.02,345000000,3.33E+13,76
NiCo2O4 MS,0,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,28,3,24.845,25,4,12.75,26,2,0,100,4,0,4,0,37,1,1,4,9.41,0.26,345000000,3.33E+13,76
NiCo2O4 MS,1,0,0,0,0,0,0,0,0,0,0,66.7,27,3,33.3,28,3,24.845,25,4,12.75,26,2,0,100,4,0,4,0,37,0,2,0.26,0.13,0.01,345000000,3.33E+13,76
Multi-caged IrOx NPs,0,0,0,0,0,0,0,0,0,0,0,100,77,0,3.005,69,1.5,2.28,62,0,5.77,26.5,2.5,0,24.05,4,2,4,0,25,1,1,50,19.27,1.79,0.1,853.165,77
Multi-caged IrOx NPs,1,0,0,0,0,0,0,0,0,0,0,100,77,0,10,69,1.5,2.28,62,0,3.79,27,3,0,24.05,4,2,4,0,25,0,2,50.005,0.3,3.76,0.01,2555.385,77
Multi-caged IrOx NPs,2,0,0,0,0,0,0,0,0,0,0,100,77,0,13.25,58,3,15.95,58,4,10.23,27,2.5,0,24.05,4,2,7,1,25,1,2,0.4,187.95,5.64,0.01,215.265,77
Fe3O4@Pt NPs,0,0,0,0,0,0,0,0,0,0,0,63.4,26,3,31.7,26,2,4.9,78,0,9.375,26,2,0,10,35,0,4.4,0,25,0,0,1000,0.15,0.07,84.11,103550.005,78
Fe3O4@Pt NPs,0,0,0,0,0,0,0,0,0,0,0,63.4,26,3,31.7,26,2,4.9,78,0,9.96,36.5,1,0,10,35,0,4.4,0,25,1,1,0.5,702.6,0.71,84.42,0.055,78
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,11.445,68,2,9.375,26,2,0,10,35,0,4.4,0,25,0,0,1000,0.49,0.06,66.6,103550.005,79
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.64,58,4,16.67,27,2,0,10,35,0,4.4,0,25,1,1,0.5,1175.3,0.24,28.35,0.055,79
Pt48Pd52-Fe3O4 dumbbell,0,0,0,0,0,0,0,0,0,0,0,62.33,26,3,31.17,26,2,3.25,46,0,3.25,46,0,0,35,36,2,5.2,0,25,0,0,0.1,0.08,0.09,345000000,3.33E+13,80
Pt48Pd52 and Fe3O4 mixture,0,0,0,0,0,0,0,0,0,0,0,62.33,26,3,31.17,26,2,3.25,46,0,3.25,46,0,0,6,36,2,5.2,0,25,0,0,0.1,0.17,0.04,345000000,3.33E+13,81
Pt48Pd52,0,0,0,0,0,0,0,0,0,0,0,64.65,78,0,35.35,46,0,16.67,26,2,3.52,36.5,1.5,0,4,36,2,5.2,0,25,0,0,0.1,0.05,0.03,345000000,3.33E+13,82
Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,3.25,46,0,3.25,46,0,0,10,36,2,5.2,0,25,0,0,0.1,0.14,0.03,345000000,3.33E+13,79
TiO2?CA NPs,1,0,0,0,0,0,0,0,0,0,0,100,22,4,33.3,30,2,1.35,58,4,3.25,46,0,0,20,37,0,4,0,30,0,2,0.26,0.11,0.16,345000000,3.33E+13,83
V2O5@pDA@MnO2,3,0,0,0,0,0,0,0,0,0,0,55.14,25,4,44.86,23,5,24.845,25,4,15.585,26.5,2,4,200,38,3,7.4,2,25,8,0,0.24,7.2,3.17,345000000,3.33E+13,84
V2O5@pDA@MnO2,3,0,0,0,0,0,0,0,0,0,0,55.14,25,4,44.86,23,5,24.845,25,4,15.585,26.5,2,4,200,38,3,7.4,2,25,1,6,2,0.16,1.47,345000000,3.33E+13,84
PtNFs/GNs,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,4.63,46.5,0,3.52,36.5,1.5,0,200,39,0,4.4,0,25,0,0,0.2,0.52,0.13,345000000,3.33E+13,85
PtNFs/GNs,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,7.455,46,0,3.52,36.5,1.5,0,200,39,0,4.4,0,25,1,1,50,25.31,0.07,345000000,3.33E+13,85
PdNPs/GNs,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,2.28,62,0,3.25,46,0,0,200,39,0,4.4,0,25,0,0,0.2,0.39,0.35,345000000,3.33E+13,86
PdNPs/GNs,0,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,2.28,62,0,3.25,46,0,0,200,39,0,4.4,0,25,1,1,50,23.9,0.14,345000000,3.33E+13,86
PtPdNDs/GNs,0,0,0,0,0,0,0,0,0,0,0,84.87,78,0,15.13,46,0,2.28,62,0,3.52,36.5,1.5,0,16,39,0,4.4,0,25,0,0,0.2,0.04,0.43,345000000,3.33E+13,87
PtPdNDs/GNs,0,0,0,0,0,0,0,0,0,0,0,84.87,78,0,15.13,46,0,2.28,62,0,3.52,36.5,1.5,0,16,39,0,4.4,0,25,1,1,50,3.45,0.12,345000000,3.33E+13,87
PtPdNAs/GNs,0,0,0,0,0,0,0,0,0,0,0,75,78,0,25,46,0,8.085,47,0,3.52,36.5,1.5,0,200,39,0,4.4,0,25,0,0,0.2,0.33,0.57,345000000,3.33E+13,88
PtPdNAs/GNs,0,0,0,0,0,0,0,0,0,0,0,75,78,0,25,46,0,7.455,46,0,10.23,27,2.5,0,200,39,0,4.4,0,25,1,1,50,13.67,0.11,345000000,3.33E+13,88
Pt@PdNFs/GNs,0,0,0,0,0,0,0,0,0,0,0,75,78,0,25,46,0,8.085,47,0,3.52,36.5,1.5,0,200,39,0,4.4,0,25,0,0,0.2,0.14,0.16,345000000,3.33E+13,89
Pt@PdNFs/GNs,0,0,0,0,0,0,0,0,0,0,0,75,78,0,25,46,0,7.455,46,0,10.23,27,2.5,0,200,39,0,4.4,0,25,1,1,50,9.78,0.11,345000000,3.33E+13,89
Naked-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,4,0,4.5,0,25,0,0,0.8,101.4,0.04,884000,0.115,90
Ala-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,40,0,4.5,0,25,0,0,0.8,676,0.83,17000000,0.055,91
His-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,41,0,4.5,0,25,0,0,0.8,598,0.36,7380000,0.055,92
Naked-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,4,0,4.5,0,25,1,1,0.8,458.9,0.1,312000,0.055,90
Ala-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,40,0,4.5,0,25,1,1,0.8,226.6,0.1,454000,0.115,91
His-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,41,0,4.5,0,25,1,1,0.8,37.99,0.01,539000,0.115,92
Phenylalanine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,42,0,4.5,0,25,1,1,0.8,1198.5,0.105,345000000,3.33E+13,93
 Glycine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,10.755,68,2,16.67,27,2,0,500,43,0,4.5,0,25,1,1,0.8,578.8,0.105,345000000,3.33E+13,94
Leucine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,44,0,4.5,0,25,1,1,0.8,1132.8,0.105,345000000,3.33E+13,95
Isoleucine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,45,0,4.5,0,25,1,1,0.8,887.5,0.105,345000000,3.33E+13,96
Valine -Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,46,0,4.5,0,25,1,1,0.8,346.7,0.105,345000000,3.33E+13,97
Serine -Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,47,0,4.5,0,25,1,1,0.8,315.6,0.105,345000000,3.33E+13,98
Threonine -Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,10.755,68,2,16.67,27,2,0,500,48,0,4.5,0,25,1,1,0.8,768.6,0.105,345000000,3.33E+13,99
Proline-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,49,0,4.5,0,25,1,1,0.8,236.5,0.105,345000000,3.33E+13,100
Tyrosine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,10.755,68,2,16.67,27,2,0,500,50,0,4.5,0,25,1,1,0.8,554.2,0.105,345000000,3.33E+13,101
Tryptophan -Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,51,0,4.5,0,25,1,1,0.8,2951.1,0.105,345000000,3.33E+13,102
Glutarnine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,10.755,68,2,16.67,27,2,0,500,52,0,4.5,0,25,1,1,0.8,648.6,0.105,345000000,3.33E+13,103
Glutamic acidic-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,53,0,4.5,0,25,1,1,0.8,376.2,0.105,345000000,3.33E+13,104
 Asparagine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,54,0,4.5,0,25,1,1,0.8,949.6,0.105,345000000,3.33E+13,105
Aspartic acidic-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,55,0,4.5,0,25,1,1,0.8,390.6,0.105,345000000,3.33E+13,106
 Lysine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,56,0,4.5,0,25,1,1,0.8,340.1,0.105,345000000,3.33E+13,107
Arginine-Fe3O4,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,57,0,4.5,0,25,1,1,0.8,262.9,0.105,345000000,3.33E+13,108
 Cystine-Fe3O4,0,0,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15.585,26.5,2,0,500,58,0,4.5,0,25,1,1,0.8,354.3,0.105,345000000,3.33E+13,109
Methionine-Fe3O4,0,0,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15.95,58,4,16.67,27,2,0,500,59,0,4.5,0,25,1,1,0.8,2528.4,0.105,345000000,3.33E+13,110
Pd Nanocrystals,2,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,8.085,47,0,9.96,36.5,1,5,10,60,2,7.4,2,27,1,2,0.26,102.4,2.2,345000000,3.33E+13,111
Pd Nanocrystals,2,0,0,0,0,0,0,0,0,0,0,100,46,0,33.3,30,2,14.31,63,0,9.96,36.5,1,3,10,60,2,7.4,2,27,1,2,0.26,135.1,5.9,345000000,3.33E+13,111
CeO2,1,0,0,0,0,0,0,0,0,0,0,100,58,4,12.565,79,1,2.765,46,0,3.25,46,0,0,5,61,0,4,0,25,3,2,345,0.18,1.2,2.8,0.02,18
CeO2,1,0,0,0,0,0,0,0,0,0,0,100,58,4,12.565,79,1,2.765,46,0,3.25,46,0,0,5,61,0,4,0,25,0,2,345,1.5,0.07,0.16,0.1,18
F-CeO2,1,0,0,0,0,0,0,1,0,0,0,100,58,4,7.605,43.5,1.5,2.28,62,0,3.79,27,3,0,5,8,0,4,0,25,3,2,25.1,0.06,0.55,12.84,0.21,112
F-CeO2,1,0,0,0,0,0,0,1,0,0,0,100,58,4,7.605,43.5,1.5,2.28,62,0,3.79,27,3,0,5,8,0,4,0,25,0,2,0.25,0.14,0.06,1.47,0.01,112
Pt nanoparticle,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,9.375,26,2,0,2.5,61,3,5,0,25,0,0,640,0.42,0.03,345000000,3.33E+13,113
Pt nanoparticle,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,8.085,47,0,9.96,36.5,1,0,2.5,61,3,5,0,25,1,1,0.14,84.07,0.105,345000000,3.33E+13,113
Fe3O4-Ncit,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.93,41.5,3.5,9.375,26,2,0,34.4,61,0,4,0,25,0,0,530,0.24,0.17,0.1,0.1,114
Fe3O4-Ncit,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.93,41.5,3.5,9.375,26,2,0,34.4,61,0,4,0,25,3,0,530,0.73,0.15,0.1,0.01,114
Fe3O4-NCMD  ,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,42.1,62,0,4,0,25,0,0,530,0.3,0.13,0.1,0.1,115
Fe3O4-NCMD  ,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,42.1,62,0,4,0,25,3,0,530,0.81,0.12,0.1,0.01,115
Fe3O4-Nhep,0,1,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,40.6,63,0,4,0,25,0,0,530,0.22,0.24,0.1,0.1,116
Fe3O4-Nhep,0,1,0,1,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,40.6,63,0,4,0,25,3,0,530,0.96,0.05,0.1,0.1,116
Fe3O4-Ngly,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,40.1,64,0,4,0,25,0,0,530,0.55,0.1,0.1,0.1,117
Fe3O4-Ngly,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,40.1,64,0,4,0,25,3,0,530,0.2,0.3,0.1,0.01,117
Fe3O4-NPLL ,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,46.2,65,0,4,0,25,0,0,530,0.69,0.05,0.1,445.77,118
Fe3O4-NPLL ,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,46.2,65,0,4,0,25,3,0,530,0.19,0.45,0.1,445.77,118
Fe3O4-NPEI,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,43.7,66,0,4,0,25,0,0,530,0.71,0.04,0.1,365,119
Fe3O4-NPEI,0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,12.125,25,2.5,9.375,26,2,0,43.7,66,0,4,0,25,3,0,530,0.12,0.61,0.1,365,119
Fe0.5Mn0.5Fe2O4,0,0,0,0,0,0,0,0,0,0,0,40.28,26,3,20.14,26,2,11.89,25,4,9.375,26,2,0,10.5,4,0,4,0,40,0,0,800,0.14,4.5,14062,101165000,120
Fe0.5Mn0.5Fe2O4,0,0,0,0,0,0,0,0,0,0,0,40.28,26,3,20.14,26,2,11.89,25,4,16.67,27,2,0,10.5,4,0,4,0,40,1,1,0.8,310,3.63,11340,36500,120
Fe3O4-ATP,0,1,1,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.64,58,4,9.375,26,2,0,13,67,2,7.4,2,30,0,0,250,0.37,0.03,345000000,3.33E+13,121
Fe3O5-ATP,0,1,1,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,3.25,46,0,3.25,46,0,0,13,67,2,7.4,2,30,1,1,1,54.6,0.02,345000000,3.33E+13,122
Fe3O4 NPs,0,0,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,12.75,26,2,0,570,4,5,7,1,25,1,2,0.26,0.17,1.55,345000000,3.33E+13,123
Fe3O4 -AMP,0,1,1,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,18.335,27,2,15.585,26.5,2,0,582,68,5,7,1,25,1,2,0.26,0.04,4.15,345000000,3.33E+13,124
PMCS,0,0,0,1,0,0,0,0,0,0,0,100,30,2,39,29,1,16.67,28,2,12.75,26,2,0,130,69,0,4.5,0,45,0,0,100,0.22,0.11,4960000,0.16,125
PMCS,0,0,0,1,0,0,0,0,0,0,0,100,30,2,5.06,78,0,16.67,28,2,8.875,36,1,0,130,69,0,4.5,0,45,1,1,25.82,40.16,0.12,5660000,4500.11,125
CoｊTBPP(bpy),0,1,0,0,0,0,1,0,0,0,0,100,27,2,33.3,30,2,8.085,47,0,9.375,26,2,0,30,70,2,4,0,37,1,1,625,0.05,0.01,345000000,3.33E+13,126
TiN NPS,0,1,0,0,0,0,0,0,0,0,0,100,22,3,33.3,30,2,2.975,46,0,9.96,36.5,1,0,70,71,0,4.5,0,50,0,0,0.26,0.07,10,345000000,3.33E+13,127
TiN NPS,0,1,0,0,0,0,0,0,0,0,0,100,22,3,33.3,30,2,7.455,46,0,9.96,36.5,1,0,70,71,0,4.5,0,50,1,1,0.26,10.29,7.84,345000000,3.33E+13,127
PtNP,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.79,27,3,0,5.2,4,0,4,0,25,0,2,0.26,0.07,0.02,345000000,3.33E+13,128
PtNP-A10,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,24.845,25,4,12.75,26,2,0,218,4,0,4,0,25,0,2,0.26,0.28,0.1,345000000,3.33E+13,129
PtNP-T10,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,24.845,25,4,12.75,26,2,0,122,4,0,4,0,25,0,2,0.26,0.03,0.03,345000000,3.33E+13,130
PtNP-C10,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.79,27,3,0,3.94,4,0,4,0,25,0,2,0.26,0.3,0.1,345000000,3.33E+13,131
PtNP-G10,0,0,0,0,0,0,0,0,0,0,0,100,78,0,33.3,30,2,2.28,62,0,3.79,27,3,0,7.18,4,0,4,0,25,0,2,0.26,0.19,0.1,345000000,3.33E+13,132
AuNPs,1,0,0,0,0,0,0,0,0,0,0,100,79,0,33.3,30,2,6.56,47,0,3.52,36.5,1.5,0,15,72,5,7.4,2,50,9,2,0.26,1.255,0.105,345000000,3.33E+13,36
" 3D-g-C3N4/
MIL-101(Fe)",0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,18.995,42.5,3,15,23,4,4,200,4,0,4.5,0,25,1,5,8,0.62,87.99,345000000,3.33E+13,133
" 3D-g-C3N4/
MIL-102(Fe)",0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.17,68.5,1.5,15,23,4,4,200,4,0,4.5,0,25,6,0,1.6,0.51,21.86,345000000,3.33E+13,134
"2D-g-C3N4/
MIL-103(Fe)",0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.17,68.5,1.5,15,23,4,4,200,4,0,4.5,0,25,1,5,8,0.16,18.48,345000000,3.33E+13,135
"2D-g-C3N4/
MIL-104(Fe)",0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15,23,4,4,200,4,0,4.5,0,25,6,0,1.6,0.68,32.77,345000000,3.33E+13,136
"1D-g-C3N4/
MIL-105(Fe)",0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,15,42.5,2.5,15,23,4,4,200,4,0,4.5,0,25,1,5,8,0.11,26.59,345000000,3.33E+13,137
"1D-g-C3N4/
MIL-106(Fe)",0,1,0,0,0,0,0,0,0,0,0,66.7,26,3,33.3,26,2,16.67,27,2,15,23,4,4,200,4,0,4.5,0,25,6,0,1.6,0.46,31.93,345000000,3.33E+13,138
CeO2,2,0,0,0,0,0,0,0,0,0,0,100,58,4,33.3,30,2,16.67,28,2,15.585,26.5,2,3,200,73,3,7.4,2,25,1,2,0.26,1.255,0.105,345000000,3.33E+13,18
Mo-SAN,0,1,0,0,0,0,0,0,0,0,0,100,42,2,3.21,29,0,2.28,62,0,3.52,36.5,1.5,1,40,4,0,4,0,37,1,1,5,0.04,0.74,0.07,1681.64,139
Mo-SAN,0,1,0,0,0,0,0,0,0,0,0,100,42,2,3.21,29,0,2.28,62,0,3.79,27,3,1,40,4,0,4,0,37,0,0,7,0.26,1.08,0.11,406.8,139
Fe/CN-800-A ,0,1,0,0,0,0,0,0,0,0,0,100,26,0,33.3,30,2,2.28,62,0,3.79,27,3,1,10,4,0,4,0,37,0,2,0.26,0.67,19.8,345000000,3.33E+13,140
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,11.145,41.5,3,9.375,26,2,0,21.3,11,0,3.6,0,45,0,0,1500,0.12,0.05,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,16.64,58,4,10.23,27,2.5,0,21.3,11,0,3.6,0,45,1,1,0.61,305,0.1,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,11.145,41.5,3,9.375,26,2,0,21.3,11,0,3.6,0,45,3,0,1500,0.15,0.03,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,2.28,62,0,3.52,36.5,1.5,0,21.3,11,0,3.6,0,45,1,4,0.35,13.8,0.02,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,11.145,41.5,3,9.375,26,2,0,21.3,4,0,3.6,0,25,0,0,1500,0.44,0.04,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,16.64,58,4,9.96,36.5,1,0,21.3,4,0,3.6,0,25,1,1,0.61,120,0.17,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,11.145,41.5,3,9.375,26,2,0,21.3,4,0,3.6,0,25,3,0,1500,0.26,0.01,345000000,3.33E+13,141
Fe2O3,0,0,0,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,1.815,52,2,3.25,46,0,0,21.3,4,0,3.6,0,25,1,4,0.35,11.3,0.02,345000000,3.33E+13,141
(H2TCPP-污-Fe2O3),0,1,1,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,16.67,28,2,12.75,26,2,0,122.4,74,0,5,0,30,0,0,250,0.03,0.1,345000000,3.33E+13,142
(H2TCPP-污-Fe2O3),0,1,1,0,0,0,0,0,0,0,0,100,26,3,33.3,30,2,16.67,28,2,9.96,36.5,1,0,122.4,74,0,5,0,30,1,1,1,0.01,0.02,345000000,3.33E+13,142
HccFn(Co3O4),0,1,0,1,0,0,0,0,0,0,0,66.7,27,3,33.33,27,2,16.64,58,4,9.375,26,2,0,6.3,75,0,4.5,0,25,0,0,2400,0.84,0.183,345000000,3.33E+13,143
HccFn(Co3O4),0,1,0,1,0,0,0,0,0,0,0,66.7,27,3,33.33,27,2,16.64,58,4,9.375,26,2,0,6.3,75,0,4.5,0,25,1,1,800,1770,0.162,345000000,3.33E+13,143
HccFn(Fe3O4),0,1,0,1,0,0,0,0,0,0,0,66.7,26,3,33.33,26,2,16.64,58,4,9.375,26,2,0,6.3,75,0,4.5,0,25,0,0,2400,1.12,0.0601,345000000,3.33E+13,144
HccFn(Fe3O4),0,1,0,1,0,0,0,0,0,0,0,66.7,26,3,33.33,26,2,16.64,58,4,12.21,26.5,2,0,6.3,75,0,4.5,0,25,1,1,800,2480,0.0563,345000000,3.33E+13,144
Fe3O4@Cu@Cu2O,0,0,0,0,0,0,0,0,0,0,0,33.33,26,3,33.3,29,1,16.67,26,2,16.67,27,2,0,50,33,0,4,0,25,0,0,20,0.16,0.0171,345000000,3.33E+13,145
Fe3O4@Cu@Cu2O,0,0,0,0,0,0,0,0,0,0,0,33.33,26,3,33.3,29,1,16.67,26,2,16.67,27,2,0,50,33,0,4,0,25,1,1,0.2,116.3,0.0923,345000000,3.33E+13,145
Fe3O4@Cu@Cu2O,0,0,0,0,0,0,0,0,0,0,0,33.33,26,3,33.3,29,1,16.67,26,2,16.67,27,2,0,50,33,3,8,2,25,6,0,2,0.85,0.131,345000000,3.33E+13,145
Fe3O4@Cu@Cu2O,0,0,0,0,0,0,0,0,0,0,0,33.33,26,3,33.3,29,1,16.67,26,2,16.67,27,2,0,50,33,3,8,2,25,1,5,1,2.3,0.119,345000000,3.33E+13,145
Fe3O4 QDs,0,0,0,0,0,0,0,0,0,0,0,75,26,2,25,26,3,3.25,46,0,3.25,46,0,0,2.5,76,6,4,0,25,0,0,10,0.03,1.37,345000000,3.33E+13,146
Fe3O4 QDs,0,0,0,0,0,0,0,0,0,0,0,75,26,2,25,26,3,3.25,46,0,3.25,46,0,0,2.5,76,6,4,0,25,1,1,5,31.06,0.0889,345000000,3.33E+13,146
a-Fe2O3,0,1,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,7.455,46,0,9.96,36.5,1,3,110,77,4,4,0,37,0,0,0.26,0.77,0.01,345000000,3.33E+13,147
a-Fe2O3,0,1,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,7.455,46,0,9.96,36.5,1,5,100,78,4,4,0,37,0,0,0.26,0.96,0.01,345000000,3.33E+13,147
a-Fe2O3,0,1,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,16.67,27,2,12.75,26,2,4,380,4,4,4,0,37,0,0,0.26,0.26,0.02,345000000,3.33E+13,147
a-Fe2O3,0,1,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,24.845,25,4,12.75,26,2,4,330,4,4,4,0,37,0,0,0.26,0.32,0.02,345000000,3.33E+13,147
a-Fe2O3,0,1,0,1,0,0,0,0,0,0,0,100,26,3,33.3,30,2,24.845,25,4,12.75,26,2,4,278,4,4,4,0,37,0,0,0.26,0.52,0.01,345000000,3.33E+13,147
